# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	7177
#@/user_id	c5dd1731-b25f-4cc2-84c6-bf1978ff09b8
a 	啊	c=3 d=0.0209629 t=7177
fo jiao tu 	佛教徒	c=1 d=5.56141e-10 t=7177
fo jing 	佛經	c=3 d=3.01216e-10 t=7177
fo tu 	佛土	c=1 d=0.0812682 t=7177
fo tuo 	佛陀	c=2 d=0.153754 t=7177
fo xue 	佛學	c=1 d=5.43906e-13 t=7177
fou ding 	否定	c=1 d=4.84902e-15 t=7177
fu 	福	c=1 d=1.25706e-15 t=7177
fu bai 	腐敗	c=1 d=0.000110555 t=7177
fu ci 	副詞	c=7 d=2.94051e-12 t=7177
fu dian shu 	浮點數	c=1 d=0.0434998 t=7177
fu hao 	符號	c=2 d=0.345701 t=7177
fu he 	符合	c=1 d=1.12612e-15 t=7177
fu he ju 	複合句	c=1 d=3.1386e-15 t=7177
fu ju 	複句	c=2 d=5.80626e-15 t=7177
fu zhi 	複製	c=5 d=6.79247e-07 t=7177
fu zhi 	賦值	c=2 d=4.92298e-09 t=7177
gai 	該	c=1 d=2.76839e-09 t=7177
gai bian 	改變	c=2 d=4.21116e-09 t=7177
gai cheng 	改成	c=1 d=7.30659e-15 t=7177
gai yong 	改用	c=1 d=1.21069e-14 t=7177
gai zheng 	改正	c=1 d=0.000735471 t=7177
gan 	淦	c=1 d=3.34074e-14 t=7177
gan dao 	感到	c=1 d=7.32425e-14 t=7177
gan jue 	感覺	c=3 d=7.63915e-09 t=7177
gan ma 	幹嘛	c=1 d=8.46137e-06 t=7177
gan qing 	感情	c=2 d=1.44368e-11 t=7177
gan sha 	幹啥	c=1 d=8.25245e-06 t=7177
gan shou 	感受	c=1 d=5.29017e-10 t=7177
gan xie 	感謝	c=5 d=0.00208267 t=7177
gan zhi 	干支	c=1 d=2.83751e-05 t=7177
gan zhou 	贛州	c=1 d=0.882497 t=7177
gang 	剛	c=3 d=1.49705e-07 t=7177
gang yi 	剛毅	c=1 d=1.63398e-12 t=7177
gao 	告	c=1 d=0.121846 t=7177
gao 	搞	c=1 d=0.000104117 t=7177
gao 	高	c=5 d=0.0572688 t=7177
gao du 	高度	c=1 d=3.26558e-11 t=7177
gao gu 	高估	c=1 d=9.64261e-14 t=7177
gao jie 	告誡	c=1 d=7.81348e-10 t=7177
gao qing 	高清	c=4 d=0.290079 t=7177
gao su 	告訴	c=3 d=8.35596e-11 t=7177
gao xiao 	搞笑	c=1 d=1.86051e-10 t=7177
gao yang 	羔羊	c=4 d=0.121862 t=7177
gao zhi 	告知	c=1 d=0.404542 t=7177
ge 	個	c=9 d=0.0115023 t=7177
ge 	哥	c=1 d=0.0132336 t=7177
ge 	格	c=5 d=1.74802e-09 t=7177
ge 	歌	c=2 d=1.46709e-06 t=7177
ge 	葛	c=1 d=0.179066 t=7177
ge li 	格力	c=1 d=0.000303539 t=7177
ge lie 	割裂	c=1 d=1.74283e-06 t=7177
ge qu 	歌曲	c=1 d=3.99823e-10 t=7177
ge ren 	個人	c=4 d=8.48639e-08 t=7177
ge shi 	格式	c=3 d=6.1214e-09 t=7177
